age,weight,height,bmi,goal,level,exercise,duration,image
24,70,165,25.71,full_body,beginner,squat,40,squat.jpg
39,89,178,28.09,muscle_gain,intermediate,goblet_squat,65,goblet_squat.jpg
33,87,170,30.10,lower_body,advanced,lunges,85,lunges.jpg
20,54,148,24.64,fat_loss,beginner,mountain_climbers,30,mountain_climbers.jpg
41,98,183,29.27,core,intermediate,crunches,50,crunches.jpg
28,72,168,25.51,upper_body,advanced,shoulder_press,75,shoulder_press.jpg
35,86,180,26.54,full_body,intermediate,box_jump,60,box_jump.jpg
23,66,162,25.16,muscle_gain,beginner,romanian_deadlift,40,romanian_deadlift.jpg
38,92,175,30.04,lower_body,beginner,glute_bridge,35,glute_bridge.jpg
46,103,190,28.54,fat_loss,advanced,high_knees,85,high_knees.jpg
29,69,165,25.35,core,beginner,russian_twist,30,russian_twist.jpg
31,80,176,25.83,upper_body,intermediate,pull_up,60,pull_up.jpg
42,100,185,29.22,full_body,advanced,burpees,90,burpees.jpg
19,61,153,26.06,muscle_gain,intermediate,squat,55,squat.jpg
36,89,174,29.40,lower_body,advanced,hip_thrust,80,hip_thrust.jpg
25,72,170,24.91,fat_loss,beginner,jumping_jacks,30,jumping_jacks.jpg
30,74,172,25.02,core,intermediate,bicycle_crunch,50,bicycle_crunch.jpg
22,63,158,25.23,upper_body,beginner,push_up,30,pushup.jpg
37,91,178,28.72,full_body,advanced,mountain_climbers,80,mountain_climbers.jpg
44,98,185,28.64,muscle_gain,intermediate,bench_press,65,bench_press.jpg
27,67,165,24.61,lower_body,beginner,calf_raise,30,calf_raise.jpg
33,84,175,27.43,fat_loss,intermediate,box_jump,55,box_jump.jpg
39,93,180,28.70,core,advanced,leg_raise,80,leg_raise.jpg
21,58,150,25.78,upper_body,beginner,dumbbell_curl,30,dumbbell_curl.jpg
40,95,182,28.68,full_body,intermediate,kettlebell_swing,65,kettlebell_swing.jpg
28,71,170,24.57,muscle_gain,advanced,deadlift,85,deadlift.jpg
34,86,177,27.46,lower_body,intermediate,lunges,60,lunges.jpg
45,102,188,28.87,fat_loss,beginner,burpees,40,burpees.jpg
26,65,160,25.39,core,advanced,plank,70,plank.jpg
32,79,174,26.10,upper_body,intermediate,triceps_dip,55,triceps_dip.jpg
23,69,165,25.35,full_body,beginner,squat,40,squat.jpg
38,90,178,28.41,muscle_gain,intermediate,goblet_squat,65,goblet_squat.jpg
33,88,170,30.45,lower_body,advanced,hip_thrust,85,hip_thrust.jpg
20,55,148,25.11,fat_loss,beginner,mountain_climbers,30,mountain_climbers.jpg
41,97,183,28.97,core,intermediate,crunches,50,crunches.jpg
29,73,168,25.86,upper_body,advanced,shoulder_press,75,shoulder_press.jpg
35,87,180,26.85,full_body,intermediate,box_jump,60,box_jump.jpg
24,67,162,25.54,muscle_gain,beginner,romanian_deadlift,40,romanian_deadlift.jpg
39,94,175,30.69,lower_body,beginner,glute_bridge,35,glute_bridge.jpg
46,104,190,28.80,fat_loss,advanced,high_knees,85,high_knees.jpg
27,68,165,24.97,core,beginner,russian_twist,30,russian_twist.jpg
30,81,176,26.15,upper_body,intermediate,pull_up,60,pull_up.jpg
42,99,185,28.93,full_body,advanced,burpees,90,burpees.jpg
18,60,155,24.98,muscle_gain,intermediate,squat,50,squat.jpg
36,88,174,29.07,lower_body,advanced,lunges,80,lunges.jpg
25,74,170,25.61,fat_loss,beginner,jumping_jacks,30,jumping_jacks.jpg
31,76,172,25.69,core,intermediate,bicycle_crunch,50,bicycle_crunch.jpg
22,61,155,25.39,upper_body,beginner,push_up,30,pushup.jpg
37,90,178,28.41,full_body,advanced,mountain_climbers,80,mountain_climbers.jpg
44,100,185,29.22,muscle_gain,intermediate,bench_press,65,bench_press.jpg
28,70,168,24.80,lower_body,beginner,calf_raise,30,calf_raise.jpg
33,85,175,27.76,fat_loss,intermediate,box_jump,55,box_jump.jpg
38,94,180,29.01,core,advanced,leg_raise,80,leg_raise.jpg
21,56,150,24.89,upper_body,beginner,dumbbell_curl,30,dumbbell_curl.jpg
40,96,182,28.98,full_body,intermediate,kettlebell_swing,65,kettlebell_swing.jpg
29,72,170,24.91,muscle_gain,advanced,deadlift,85,deadlift.jpg
34,87,177,27.78,lower_body,intermediate,hip_thrust,60,hip_thrust.jpg
45,103,188,29.16,fat_loss,beginner,burpees,40,burpees.jpg
26,66,160,25.78,core,advanced,plank,70,plank.jpg
32,80,174,26.43,upper_body,intermediate,triceps_dip,55,triceps_dip.jpg
24,71,165,26.08,full_body,beginner,squat,40,squat.jpg
39,91,178,28.72,muscle_gain,intermediate,goblet_squat,65,goblet_squat.jpg
33,89,170,30.80,lower_body,advanced,lunges,85,lunges.jpg
20,56,150,24.89,fat_loss,beginner,mountain_climbers,30,mountain_climbers.jpg
41,98,183,29.27,core,intermediate,crunches,50,crunches.jpg
27,69,165,25.35,upper_body,advanced,shoulder_press,75,shoulder_press.jpg
35,88,180,27.16,full_body,intermediate,box_jump,60,box_jump.jpg
23,68,162,25.92,muscle_gain,beginner,romanian_deadlift,40,romanian_deadlift.jpg
38,93,175,30.37,lower_body,beginner,glute_bridge,35,glute_bridge.jpg
46,105,190,29.09,fat_loss,advanced,high_knees,85,high_knees.jpg
28,67,165,24.61,core,beginner,russian_twist,30,russian_twist.jpg
31,82,176,26.48,upper_body,intermediate,pull_up,60,pull_up.jpg
42,100,185,29.22,full_body,advanced,burpees,90,burpees.jpg
19,62,153,26.50,muscle_gain,intermediate,squat,55,squat.jpg
36,90,174,29.73,lower_body,advanced,hip_thrust,80,hip_thrust.jpg
25,73,170,25.26,fat_loss,beginner,jumping_jacks,30,jumping_jacks.jpg
30,75,172,25.36,core,intermediate,bicycle_crunch,50,bicycle_crunch.jpg
22,64,158,25.64,upper_body,beginner,push_up,30,pushup.jpg
37,92,178,29.03,full_body,advanced,mountain_climbers,80,mountain_climbers.jpg
44,99,185,28.93,muscle_gain,intermediate,bench_press,65,bench_press.jpg
29,71,168,25.16,lower_body,beginner,calf_raise,30,calf_raise.jpg
33,84,175,27.43,fat_loss,intermediate,box_jump,55,box_jump.jpg
38,93,180,28.70,core,advanced,leg_raise,80,leg_raise.jpg
21,59,150,26.22,upper_body,beginner,dumbbell_curl,30,dumbbell_curl.jpg
40,95,182,28.68,full_body,intermediate,kettlebell_swing,65,kettlebell_swing.jpg
28,70,170,24.22,muscle_gain,advanced,deadlift,85,deadlift.jpg
34,86,177,27.46,lower_body,intermediate,lunges,60,lunges.jpg
45,102,188,28.87,fat_loss,beginner,burpees,40,burpees.jpg
26,65,160,25.39,core,advanced,plank,70,plank.jpg
32,79,174,26.10,upper_body,intermediate,triceps_dip,55,triceps_dip.jpg
23,69,165,25.35,full_body,beginner,squat,40,squat.jpg
38,90,178,28.41,muscle_gain,intermediate,goblet_squat,65,goblet_squat.jpg
33,88,170,30.45,lower_body,advanced,hip_thrust,85,hip_thrust.jpg
20,55,148,25.11,fat_loss,beginner,mountain_climbers,30,mountain_climbers.jpg
41,97,183,28.97,core,intermediate,crunches,50,crunches.jpg
29,73,168,25.86,upper_body,advanced,shoulder_press,75,shoulder_press.jpg
35,87,180,26.85,full_body,intermediate,box_jump,60,box_jump.jpg
24,67,162,25.54,muscle_gain,beginner,romanian_deadlift,40,romanian_deadlift.jpg
39,94,175,30.69,lower_body,beginner,glute_bridge,35,glute_bridge.jpg
46,104,190,28.80,fat_loss,advanced,high_knees,85,high_knees.jpg
27,68,165,24.97,core,beginner,russian_twist,30,russian_twist.jpg
30,81,176,26.15,upper_body,intermediate,pull_up,60,pull_up.jpg
42,99,185,28.93,full_body,advanced,burpees,90,burpees.jpg
18,60,155,24.98,muscle_gain,intermediate,squat,50,squat.jpg
36,88,174,29.07,lower_body,advanced,lunges,80,lunges.jpg
25,74,170,25.61,fat_loss,beginner,jumping_jacks,30,jumping_jacks.jpg
31,76,172,25.69,core,intermediate,bicycle_crunch,50,bicycle_crunch.jpg
22,61,155,25.39,upper_body,beginner,push_up,30,pushup.jpg
37,90,178,28.41,full_body,advanced,mountain_climbers,80,mountain_climbers.jpg
44,100,185,29.22,muscle_gain,intermediate,bench_press,65,bench_press.jpg
28,70,168,24.80,lower_body,beginner,calf_raise,30,calf_raise.jpg
33,85,175,27.76,fat_loss,intermediate,box_jump,55,box_jump.jpg
38,94,180,29.01,core,advanced,leg_raise,80,leg_raise.jpg
21,56,150,24.89,upper_body,beginner,dumbbell_curl,30,dumbbell_curl.jpg
40,96,182,28.98,full_body,intermediate,kettlebell_swing,65,kettlebell_swing.jpg
29,72,170,24.91,muscle_gain,advanced,deadlift,85,deadlift.jpg
34,87,177,27.78,lower_body,intermediate,hip_thrust,60,hip_thrust.jpg
45,103,188,29.16,fat_loss,beginner,burpees,40,burpees.jpg
26,66,160,25.78,core,advanced,plank,70,plank.jpg
32,80,174,26.43,upper_body,intermediate,triceps_dip,55,triceps_dip.jpg
24,71,165,26.08,full_body,beginner,squat,40,squat.jpg
39,91,178,28.72,muscle_gain,intermediate,goblet_squat,65,goblet_squat.jpg
33,89,170,30.80,lower_body,advanced,lunges,85,lunges.jpg
20,57,150,25.33,fat_loss,beginner,mountain_climbers,30,mountain_climbers.jpg
41,98,183,29.27,core,intermediate,crunches,50,crunches.jpg
27,69,165,25.35,upper_body,advanced,shoulder_press,75,shoulder_press.jpg
35,88,180,27.16,full_body,intermediate,box_jump,60,box_jump.jpg
23,67,162,25.54,muscle_gain,beginner,romanian_deadlift,40,romanian_deadlift.jpg
38,93,175,30.37,lower_body,beginner,glute_bridge,35,glute_bridge.jpg
46,105,190,29.09,fat_loss,advanced,high_knees,85,high_knees.jpg
28,66,165,24.24,core,beginner,russian_twist,30,russian_twist.jpg
31,83,176,26.80,upper_body,intermediate,pull_up,60,pull_up.jpg
42,101,185,29.52,full_body,advanced,burpees,90,burpees.jpg
19,63,153,26.91,muscle_gain,intermediate,squat,55,squat.jpg
36,89,174,29.40,lower_body,advanced,hip_thrust,80,hip_thrust.jpg
25,75,170,25.95,fat_loss,beginner,jumping_jacks,30,jumping_jacks.jpg
30,77,172,26.03,core,intermediate,bicycle_crunch,50,bicycle_crunch.jpg
22,62,158,24.83,upper_body,beginner,push_up,30,pushup.jpg
37,93,178,29.35,full_body,advanced,mountain_climbers,80,mountain_climbers.jpg
44,101,185,29.52,muscle_gain,intermediate,bench_press,65,bench_press.jpg
29,72,168,25.51,lower_body,beginner,calf_raise,30,calf_raise.jpg
33,86,175,28.08,fat_loss,intermediate,box_jump,55,box_jump.jpg
38,95,180,29.32,core,advanced,leg_raise,80,leg_raise.jpg
21,58,150,25.78,upper_body,beginner,dumbbell_curl,30,dumbbell_curl.jpg
40,97,182,29.28,full_body,intermediate,kettlebell_swing,65,kettlebell_swing.jpg
28,73,170,25.26,muscle_gain,advanced,deadlift,85,deadlift.jpg
34,88,177,28.09,lower_body,intermediate,lunges,60,lunges.jpg
45,104,188,29.45,fat_loss,beginner,burpees,40,burpees.jpg
26,67,160,26.17,core,advanced,plank,70,plank.jpg
32,81,174,26.75,upper_body,intermediate,triceps_dip,55,triceps_dip.jpg
24,72,165,26.44,full_body,beginner,squat,40,squat.jpg
39,92,178,29.03,muscle_gain,intermediate,goblet_squat,65,goblet_squat.jpg
33,90,170,31.14,lower_body,advanced,hip_thrust,85,hip_thrust.jpg
20,56,150,24.89,fat_loss,beginner,mountain_climbers,30,mountain_climbers.jpg
41,99,183,29.57,core,intermediate,crunches,50,crunches.jpg
27,70,165,25.71,upper_body,advanced,shoulder_press,75,shoulder_press.jpg
35,89,180,27.47,full_body,intermediate,box_jump,60,box_jump.jpg
23,68,162,25.92,muscle_gain,beginner,romanian_deadlift,40,romanian_deadlift.jpg
38,94,175,30.69,lower_body,beginner,glute_bridge,35,glute_bridge.jpg
46,106,190,29.36,fat_loss,advanced,high_knees,85,high_knees.jpg
29,68,165,24.97,core,beginner,russian_twist,30,russian_twist.jpg
31,84,176,27.12,upper_body,intermediate,pull_up,60,pull_up.jpg
42,102,185,29.81,full_body,advanced,burpees,90,burpees.jpg
18,59,155,24.55,muscle_gain,intermediate,squat,50,squat.jpg
36,90,174,29.73,lower_body,advanced,lunges,80,lunges.jpg
25,76,170,26.30,fat_loss,beginner,jumping_jacks,30,jumping_jacks.jpg
31,78,172,26.37,core,intermediate,bicycle_crunch,50,bicycle_crunch.jpg
22,63,158,25.23,upper_body,beginner,push_up,30,pushup.jpg
37,94,178,29.67,full_body,advanced,mountain_climbers,80,mountain_climbers.jpg
44,102,185,29.81,muscle_gain,intermediate,bench_press,65,bench_press.jpg
28,71,168,25.16,lower_body,beginner,calf_raise,30,calf_raise.jpg
33,87,175,28.41,fat_loss,intermediate,box_jump,55,box_jump.jpg
38,96,180,29.63,core,advanced,leg_raise,80,leg_raise.jpg
21,60,150,26.67,upper_body,beginner,dumbbell_curl,30,dumbbell_curl.jpg
40,98,182,29.58,full_body,intermediate,kettlebell_swing,65,kettlebell_swing.jpg
29,74,170,25.61,muscle_gain,advanced,deadlift,85,deadlift.jpg
34,89,177,28.41,lower_body,intermediate,hip_thrust,60,hip_thrust.jpg
45,105,188,29.73,fat_loss,beginner,burpees,40,burpees.jpg
26,68,160,26.56,core,advanced,plank,70,plank.jpg
32,82,174,27.08,upper_body,intermediate,triceps_dip,55,triceps_dip.jpg
24,73,165,26.82,full_body,beginner,squat,40,squat.jpg
39,93,178,29.35,muscle_gain,intermediate,goblet_squat,65,goblet_squat.jpg
33,91,170,31.49,lower_body,advanced,lunges,85,lunges.jpg
20,58,150,25.78,fat_loss,beginner,mountain_climbers,30,mountain_climbers.jpg
41,100,183,29.86,core,intermediate,crunches,50,crunches.jpg
27,71,165,26.08,upper_body,advanced,shoulder_press,75,shoulder_press.jpg
35,90,180,27.78,full_body,intermediate,box_jump,60,box_jump.jpg
23,69,162,26.30,muscle_gain,beginner,romanian_deadlift,40,romanian_deadlift.jpg
38,95,175,31.02,lower_body,beginner,glute_bridge,35,glute_bridge.jpg
46,107,190,29.64,fat_loss,advanced,high_knees,85,high_knees.jpg
28,67,165,24.61,core,beginner,russian_twist,30,russian_twist.jpg
31,85,176,27.45,upper_body,intermediate,pull_up,60,pull_up.jpg
42,103,185,30.10,full_body,advanced,burpees,90,burpees.jpg
19,64,153,27.34,muscle_gain,intermediate,squat,55,squat.jpg
36,91,174,30.07,lower_body,advanced,hip_thrust,80,hip_thrust.jpg
25,77,170,26.64,fat_loss,beginner,jumping_jacks,30,jumping_jacks.jpg
30,79,172,26.71,core,intermediate,bicycle_crunch,50,bicycle_crunch.jpg
22,64,158,25.64,upper_body,beginner,push_up,30,pushup.jpg
37,95,178,29.99,full_body,advanced,mountain_climbers,80,mountain_climbers.jpg
44,103,185,30.10,muscle_gain,intermediate,bench_press,65,bench_press.jpg
29,73,168,25.86,lower_body,beginner,calf_raise,30,calf_raise.jpg
33,88,175,28.73,fat_loss,intermediate,box_jump,55,box_jump.jpg
38,97,180,29.94,core,advanced,leg_raise,80,leg_raise.jpg
21,61,150,27.11,upper_body,beginner,dumbbell_curl,30,dumbbell_curl.jpg
40,99,182,29.88,full_body,intermediate,kettlebell_swing,65,kettlebell_swing.jpg
28,75,170,25.95,muscle_gain,advanced,deadlift,85,deadlift.jpg
34,90,177,28.73,lower_body,intermediate,lunges,60,lunges.jpg
45,106,188,30.01,fat_loss,beginner,burpees,40,burpees.jpg
26,69,160,26.95,core,advanced,plank,70,plank.jpg
32,83,174,27.41,upper_body,intermediate,triceps_dip,55,triceps_dip.jpg
24,74,165,27.18,full_body,beginner,squat,40,squat.jpg
39,94,178,29.67,muscle_gain,intermediate,goblet_squat,65,goblet_squat.jpg
33,92,170,31.83,lower_body,advanced,hip_thrust,85,hip_thrust.jpg
20,59,150,26.22,fat_loss,beginner,mountain_climbers,30,mountain_climbers.jpg
41,101,183,30.16,core,intermediate,crunches,50,crunches.jpg
27,72,165,26.44,upper_body,advanced,shoulder_press,75,shoulder_press.jpg
35,91,180,28.09,full_body,intermediate,box_jump,60,box_jump.jpg
23,70,162,26.68,muscle_gain,beginner,romanian_deadlift,40,romanian_deadlift.jpg
38,96,175,31.35,lower_body,beginner,glute_bridge,35,glute_bridge.jpg
46,108,190,29.92,fat_loss,advanced,high_knees,85,high_knees.jpg
29,69,165,25.35,core,beginner,russian_twist,30,russian_twist.jpg
31,86,176,27.77,upper_body,intermediate,pull_up,60,pull_up.jpg
42,104,185,30.40,full_body,advanced,burpees,90,burpees.jpg
18,60,155,24.98,muscle_gain,intermediate,squat,50,squat.jpg
36,92,174,30.40,lower_body,advanced,lunges,80,lunges.jpg
25,78,170,26.99,fat_loss,beginner,jumping_jacks,30,jumping_jacks.jpg
30,80,172,27.05,core,intermediate,bicycle_crunch,50,bicycle_crunch.jpg
22,65,158,26.04,upper_body,beginner,push_up,30,pushup.jpg
37,96,178,30.30,full_body,advanced,mountain_climbers,80,mountain_climbers.jpg
44,104,185,30.40,muscle_gain,intermediate,bench_press,65,bench_press.jpg
28,74,168,26.22,lower_body,beginner,calf_raise,30,calf_raise.jpg
33,89,175,29.06,fat_loss,intermediate,box_jump,55,box_jump.jpg
38,98,180,30.25,core,advanced,leg_raise,80,leg_raise.jpg
21,62,150,27.56,upper_body,beginner,dumbbell_curl,30,dumbbell_curl.jpg
40,100,182,30.19,full_body,intermediate,kettlebell_swing,65,kettlebell_swing.jpg
29,76,170,26.30,muscle_gain,advanced,deadlift,85,deadlift.jpg
34,91,177,29.05,lower_body,intermediate,hip_thrust,60,hip_thrust.jpg
45,107,188,30.28,fat_loss,beginner,burpees,40,burpees.jpg
26,70,160,27.34,core,advanced,plank,70,plank.jpg
32,84,174,27.74,upper_body,intermediate,triceps_dip,55,triceps_dip.jpg
24,75,165,27.55,full_body,beginner,squat,40,squat.jpg
39,95,178,29.99,muscle_gain,intermediate,goblet_squat,65,goblet_squat.jpg
33,93,170,32.18,lower_body,advanced,lunges,85,lunges.jpg
20,60,150,26.67,fat_loss,beginner,mountain_climbers,30,mountain_climbers.jpg
41,102,183,30.46,core,intermediate,crunches,50,crunches.jpg
27,73,165,26.82,upper_body,advanced,shoulder_press,75,shoulder_press.jpg
35,92,180,28.40,full_body,intermediate,box_jump,60,box_jump.jpg
23,71,162,27.06,muscle_gain,beginner,romanian_deadlift,40,romanian_deadlift.jpg
38,97,175,31.68,lower_body,beginner,glute_bridge,35,glute_bridge.jpg
46,109,190,30.19,fat_loss,advanced,high_knees,85,high_knees.jpg
